Código Postal,Municipio,Estado,Siglas Plaza,LU,MA,MI,JU,VI,SA,DO,Periodicidad,Es Ocurre Forzoso,Reexpedición,Garantía Máxima
01000,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01010,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01020,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01029,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01030,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01040,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01048,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01049,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01050,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01060,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01070,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01080,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01089,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01090,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01100,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01109,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,,,DIARIA,No,No,DIA SIG.
01110,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01120,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01125,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01130,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01139,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01140,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01150,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01159,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01160,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01170,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01180,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01184,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01200,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01210,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01219,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01220,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01230,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01239,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01240,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01250,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01259,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01260,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01269,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01270,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01275,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01276,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01278,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01279,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01280,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01285,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01289,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01290,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01296,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01298,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01299,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01310,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,,,DIARIA,No,No,DIA SIG.
01320,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,,,DIARIA,No,No,DIA SIG.
01330,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01340,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01376,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01377,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01379,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01389,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,TERRESTRE
01400,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01407,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01408,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01410,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01419,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01420,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01430,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01440,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01450,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01460,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01470,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01480,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01490,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01500,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01504,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01507,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01508,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01509,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01510,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01520,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01530,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01537,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01538,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01539,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01540,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01548,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01549,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01550,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01560,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01566,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01567,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01569,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01580,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01585,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01586,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01587,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01588,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01589,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01590,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01600,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01610,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01618,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01619,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01620,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01630,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01640,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01645,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01650,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01700,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01708,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01710,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01720,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01729,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01730,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01740,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01750,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01759,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01760,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01770,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01780,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01788,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01789,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01790,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01800,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,,X,,X,,,SEMANAL,No,No,TERRESTRE
01807,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,,X,,X,,,SEMANAL,No,No,TERRESTRE
01810,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,,X,,X,,,SEMANAL,No,No,TERRESTRE
01820,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,,X,,X,,,SEMANAL,No,No,TERRESTRE
01830,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,,X,,X,,,SEMANAL,No,No,TERRESTRE
01840,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,,X,,X,,,SEMANAL,No,No,TERRESTRE
01849,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,,X,,X,,,SEMANAL,No,No,TERRESTRE
01856,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,,X,,X,,,SEMANAL,No,No,TERRESTRE
01857,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,,X,,X,,,SEMANAL,No,No,TERRESTRE
01859,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,,X,,X,,,SEMANAL,No,No,TERRESTRE
01860,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,,X,,X,,,SEMANAL,No,No,TERRESTRE
01870,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,,,DIARIA,No,No,DIA SIG.
01900,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
01904,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01940,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
01990,ALVARO OBREGON,CIUDAD DE MEXICO,MX1,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
02000,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02008,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
02010,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02020,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02040,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02050,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
02060,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02070,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02080,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02090,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02099,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02100,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02109,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
02110,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02120,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
02125,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02128,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02129,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02130,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02140,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02150,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02160,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02169,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02200,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02230,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02240,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02250,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02260,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02300,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02310,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02320,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02330,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02340,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02350,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02360,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02400,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02409,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
02410,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02419,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02420,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02430,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02440,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02450,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02459,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02460,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02470,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02479,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02480,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02490,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02500,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
02510,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02519,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02520,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02525,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
02530,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
02540,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02600,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02630,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
02640,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02650,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02660,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02670,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02680,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02700,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02710,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02718,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02719,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02720,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02729,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02730,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
02739,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,DIA SIG.
02750,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02760,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02770,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
02780,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02790,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02800,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02810,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02830,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,3958333333"
02840,AZCAPOTZALCO,CIUDAD DE MEXICO,MX3,X,X,X,X,X,X,,DIARIA,No,No,"0,4791666667"
