,DHL_DIA_SIGUIENTE,ESTAFETA_DIA_SIGUIENTE,ESTAFETA_DIA_SIGUIENTE_cuenta,ESTAFETA_TERRESTRE_CONSUMO,ESTAFETA_TERRESTRE_CONSUMO_cuenta,bike,destiny_zipcode,origin_zipcode,weight
93,682.36,744.12,8619166,166.39,5522411,,62900,35017,34
94,700.86,764.2099999999999,8619166,171.84,5522411,,62900,35017,35
95,719.36,784.3,8619166,177.29000000000002,5522411,,62900,35017,36
96,737.86,804.39,8619166,182.74,5522411,,62900,35017,37
97,756.36,824.48,8619166,188.19,5522411,,62900,35017,38
98,774.86,844.5699999999999,8619166,193.64,5522411,,62900,35017,39
99,793.36,864.66,8619166,199.09,5522411,,62900,35017,40
100,811.86,884.75,8619166,204.54000000000002,5522411,,62900,35017,41
101,830.37,904.8399999999999,8619166,209.99,5522411,,62900,35017,42
102,848.87,924.93,8619166,215.44,5522411,,62900,35017,43
103,867.37,945.02,8619166,220.89000000000001,5522411,,62900,35017,44
104,885.87,965.11,8619166,226.34,5522411,,62900,35017,45
105,904.37,985.1999999999999,8619166,231.79000000000002,5522411,,62900,35017,46
106,922.87,1005.29,8619166,237.24,5522411,,62900,35017,47
107,941.37,1025.38,8619166,242.69,5522411,,62900,35017,48
108,959.87,1045.47,8619166,248.14000000000001,5522411,,62900,35017,49
109,978.38,1065.56,8619166,253.59,5522411,,62900,35017,50
110,996.88,1085.65,8619166,259.04,5522411,,62900,35017,51
111,1015.38,1105.74,8619166,264.49,5522411,,62900,35017,52
112,1033.88,1125.8300000000002,8619166,269.94,5522411,,62900,35017,53
113,1052.38,1145.92,8619166,275.39,5522411,,62900,35017,54
114,1070.88,1166.01,8619166,280.84000000000003,5522411,,62900,35017,55
115,1089.38,1186.1000000000001,8619166,286.29,5522411,,62900,35017,56
116,1107.88,1206.19,8619166,291.74,5522411,,62900,35017,57
117,1126.38,1226.28,8619166,297.19,5522411,,62900,35017,58
118,1144.89,1246.3700000000001,8619166,302.64,5522411,,62900,35017,59
119,1163.39,1266.46,8619166,308.09000000000003,5522411,,62900,35017,60
120,61.6,81.15,8619166,37.37,8608731,97.0,06000,11950,1
121,77.0,101.24000000000001,8619166,37.37,8608731,97.0,06000,11950,2
122,96.24,121.33000000000001,8619166,37.37,8608731,97.0,06000,11950,3
123,115.48,141.42000000000002,8619166,37.37,8608731,97.0,06000,11950,4
124,134.72,161.51,8619166,37.37,8608731,97.0,06000,11950,5
125,153.96,181.60000000000002,8619166,42.919999999999995,8608731,97.0,06000,11950,6
126,173.2,201.69,8619166,48.47,8608731,97.0,06000,11950,7
127,192.45,221.78,8619166,54.019999999999996,8608731,97.0,06000,11950,8
